401310 | _start __libc_start_main main | map_put | push r12 | w7FFC6012FD40
401312 | _start __libc_start_main main | map_put | push rbp | w7FFC6012FD38
401313 | _start __libc_start_main main | map_put | mov r12d, edx |
401316 | _start __libc_start_main main | map_put | push rbx | w7FFC6012FD30
401317 | _start __libc_start_main main | map_put | mov rbx, rdi |
40131A | _start __libc_start_main main | map_put | mov rbp, rsi |
40131D | _start __libc_start_main main | map_put | mov rdi, rsi |
401320 | _start __libc_start_main main map_put | map_put | call qword ptr [rbx+0x38] | r1AAF048 w7FFC6012FD28
400790 | _start __libc_start_main main map_put | int_key_hash | movzx eax, word ptr [rdi] | r1AAF060
400793 | _start __libc_start_main main map_put | int_key_hash | mov rdx, rax |
400796 | _start __libc_start_main main map_put | int_key_hash | shl rdx, 0x5 |
40079A | _start __libc_start_main main map_put | int_key_hash | sub rdx, rax |
40079D | _start __libc_start_main main map_put | int_key_hash | movzx eax, word ptr [rdi+0x2] | r1AAF062
4007A1 | _start __libc_start_main main map_put | int_key_hash | add rdx, rax |
4007A4 | _start __libc_start_main main map_put | int_key_hash | mov rax, rdx |
4007A7 | _start __libc_start_main main map_put | int_key_hash | shl rax, 0x5 |
4007AB | _start __libc_start_main main map_put | int_key_hash | sub rax, rdx |
4007AE | _start __libc_start_main main map_put | int_key_hash | mov edx, dword ptr [rdi+0x4] | r1AAF064
4007B1 | _start __libc_start_main main map_put | int_key_hash | add rax, rdx |
4007B4 | _start __libc_start_main main map_put | int_key_hash | mov rdx, rax |
4007B7 | _start __libc_start_main main map_put | int_key_hash | shl rdx, 0x5 |
4007BB | _start __libc_start_main main map_put | int_key_hash | sub rdx, rax |
4007BE | _start __libc_start_main main map_put | int_key_hash | mov eax, dword ptr [rdi+0x8] | r1AAF068
4007C1 | _start __libc_start_main main map_put | int_key_hash | add rdx, rax |
4007C4 | _start __libc_start_main main map_put | int_key_hash | mov rax, rdx |
4007C7 | _start __libc_start_main main map_put | int_key_hash | shl rax, 0x5 |
4007CB | _start __libc_start_main main map_put | int_key_hash | sub rax, rdx |
